Titre original	Titre français	Réalisateur	Couleur et Format	Année et Pays	Vu ? fois et Prod.	Genre	Acteurs	Actrices	Appréciation	Scénario	D'après	Photographie	Musique	DVD
Falcon out West (The)	Faucon au Far West (Le)	CLEMENS William	NB / 64mn	1944 / USA	RKO (Maurice Geraghty)	pol. western	Tom Conway, Cliff Clark, Edward Gargan, Minor Watson, Donald Douglas, Lyle Talbot, Lee Trent, Perc Launders, Robert ANderson, Paul Bradley, Wheaton Chambers, Jack Gargan, Snub Pollard, Lawrence Tierney, Slim Whitaker, 	Carloe Gallagher, Barbara Hale, Joan Barclay, 	Bon. Le “out West” du titre n’est qu’un prétexte pour “aérer” les décors et ambiances de la série... mais rien de neuf sous le soleil ! Le scenario est faiblard, les séquences westerns itou, et quelques petites pointes dans le dialogue ne suffisent pas à égayer. Décidément, Conway a laissé toute la finesse d’acteur à son frangin George Sanders...	Billy Jones + Morton Grant	pers. créés par Michael Arlen	Harry J. Wild	Roy Webb	
To catch a spy	Doigts croisés (Les)	CLEMENT Dick	Coul.	1971 / USA	 / Capitole Films - Films de la Pléiade - Ludgate - Bryna Co. (Pierre Braunberger + Steven Pallos)	esp.	Kirk Douglas, Trevor Howard, Tom Courtenay, Sacha Pitoëff, Bernard Blier, Patrick Mower, Richard Pearson, Garfield Morgan, 	Marlene Jobert, Bernadette Laffont, Angharad rees, Isabel Dean, 	Bon.	Dick Clement + Ian La Fresnais	rom. de George Marton + Tibor Méray	Christopher Challis	Claude Bolling	
Water	Ouragan sur l'eau plate	CLEMENT Dick	Coul.	1985 / UK	 / Hand made Films (Ian La Frenais	com.	Michael Caine, Billy Connolly, Leonard Rossiter, Dennis Dugan, Fulton MacKay, Dick Shawn, Jimmie Walker, Fred Gwynne, Trevor Laird, Chris Tummings, Stephan Kalifa, Alan Igbon, Kelvin Omard, 	Valérie Perrine, Brenda Vaccaro, 	B. Amusant, dans la bonne vieille lignée satirique du cinéma anglais des années 40.	D. Clement + Ian La Frenais + Bill Persky		Douglas Slocombe	Mike MoranChans. : George Harrison + Eric Clapton + Eddy Grant + Mike Moran	
Maison sous les arbres (La)		CLÉMENT René					Frank Langella	Faye Dunaway						
Soigne ton gauche		CLÉMENT René	NB / Court métage	1936 / F	 / Adic films (Fred Orain)	com.	Jacques Tati, Max Martell, Robur, Cliville, J. Aurel, Champel, Van der Haegen, 		Bon+. Petite mise en place sympathique du futur personnage de Tati, assez drôle, avec un demi-ton déjà typique, et les comparses mineurs, futurs habituels.		Dial. : Jean-Marie Huard		Jean Yatove	
Maudits (Les)		CLÉMENT René	NB	1946 / F		dr.	Michel Auclair							
Bataille du rail (La)		CLÉMENT René	NB	1946 / F	" / Commission gén. du film franç. + groupe ""Résistance-Fer"""	gu.	Jean Clarieux, Jean Daurand, Antoine Laurent, Lucien Desagneaux, Robert Leray, Léon Pauléon, Jean Rauzéna, Jean Clarieux, Jean Lozach, Max Well, Jean Daurand, François Joux, Barreault, 	Mme Salina, 	TB.	R. Clément + Colette Audry		Henri Alekan	Yves Baudrier	
Père tranquille (Le)		CLÉMENT René	NB	1948 / F	3 / BCM	com. dr. gu.	Noël-Noël, Paul Frankeur, Jean Varas, Marcel Dieudonné, José Arthur, Charles Lemontier, Howard Vernon, Jo Dest, Maurice Salabert, Marcel Delaître, Maurice Chevit, Robert Le Fort, Henri San-Juan, Georges Questiau, Pierre-Jacques Moncorbier, Emile Rémongin, Jean-Paul Basset, 	Claire Olivier, Nadine Alari, Jeanne Herviale, Alice Leitner, 	B. Malin et sympathique comme tout, un petit régal à chaque vision.	Noël-Noël		Claude Renoir	René Cloérec	
Au-delà des grilles		CLÉMENT René	NB	1948 / F - I	 / Alfredo Guarini	dr.	Jean Gabin, Andrea Cecchi, Robert Dalban, Carlo Tamberlani, Checco Risoni, Renato Malvasi, Claudio Ermelli, Agnese Dublini, 	Isa Miranda, Vera Talchi, Ave Ninchi, Dina Romano, Fulvia Fulvi, 	TB.	Cesare Zavattini + Suso Cecchi d'Amico + A. GuariniAdapt + dial : Jean Aurenche + Pierre Bost	Louis Page	Roman Vlad	Renzo Rossellini	
CHATEAU DE VERRE (Le)		CLÉMENT René		1950 / F										
Jeux interdits		CLÉMENT René	NB	1951 / F	2 / Silver Films (Robert Dorfmann)	com.	Georges Poujouly, Lucien Hubert, Jacques Marin, André Wasley, Amédée, Louis Saintève, Pierre Mérovée, Bernard Musson, Georges Sauval, André Enard, 	Brigitte Fossey, Suzanne Courtal, Laurence Badie, Denise Péronne, Madeleine Barbulée, Violette Monnier, Fernande Roy, 	TB.	François Boyer 	nouv. de François BoyerAdapt. : J. Aurneche + P. Bost + R. Clément	Robert Juillard	Narciso Yepes	
Monsieur Ripois		CLÉMENT René	NB	1954 / F - UK	2 / Transcontinental Films (Paul Graetz)	com. dr.	Gérard Philippe, Percy Marmont, Eric Pohlmann, Bill Shine, David Coste, Richard Hart, Arthur Howard, Martin Benson, Gérard Camplan, John Boston, 	Germaine Montero, Valerie Hobson, Joan Greenwood, Margaret Johnston, Natasha Parry, Diana Decker, Monica McLeod, Beryl Cook, Margot Field, Mai Bacon, Julie Anslow, Bette Vivian, 	TB. Exc.	R. Clément + Hugh MillsDial.: Raymond Queneau + Hugh Mills	"rom. de Louis Hémon : ""Monsieur Ripois et la Némésis"" "	Oswald Morris	Roman Vlad + Hugh Mills	
GERVAISE		CLÉMENT René		1956 / F		dr.								
This angry age	Barrage contre le Pacifique	CLÉMENT René	Coul. / Technirama	1958 / F - USA	 / COL (Dino de Laurentis)	dr.	Anthony Perkins, Richard Conte, Nehemiah Persoff, Guido Ceano, Chu Shao Chuan, Lawrence A. Williams, 	Silvana Mangano, Jo Van Fleet, Alida Valli, Yvonne Sanson, 	TB.Exc.	Irwin Shaw + Diego Fabbri + R. Clément	rom. de Marguerite Duras	Otello Martelli	Nino Rota	
Plein soleil		CLÉMENT René	Coul.	1959 / F - I	 / Robert et Raymond Hakim - Titanus	dr.	Alain Delon, Maurice Ronet, Erno Crisa, Frank Latimore, Bill Kearns, Nerio Bernardi, Nicolas Petrov, Walter Grant, Lionello Zanchi, 	Marie Laforêt, Elvire Popesco, Romy Schneider, Ave Ninchi, Viviane Chantel, Denise Chantal, Lili Romanelli, 	"BonB. 
Asstt réal. : Pierre Zimmer"	René Clément + Paul Gégauff	"rom. ""Monsieur Ripley"" de Patricia Highsmith"	Henri Decae	Nino Rota	
Jour et l'heure (Le)		CLÉMENT René	NB	1962 / F	3 / C.I.P.R.A. (Jacques Bar)	dr. gu.	Stuart Whitman, Michel Piccoli, Billy Kearns, Reggie Nalder, Marcel Bozzufi, Henri Virlogeux, Pierre Dux, Hubert de Lapparent, Roger Kemp, Jacques Herlin, Jean-Claude Michel, Carl Studer, Mark Burns, Anthony Stuart, Maurice Garrel, Robert Bazil, Charles Bouillaud, Gabriel Gobin, Jacques Herlin, Edward Meeks, Jean Gras, Guy Dakar, Marcel Gassouk, Etienne Dirant, Fred Fisher, Anthony Stuart, Hughes Wanner, 	Simone Signoret, Geneviève Page, Yvette Étiévant, Henia Suchar, Colette Castel, Clara Gansard, Marie Mergey, Jessie Azoulai, Catherine Azoulai, 	TB. puis BonB.	"André BarretAdapt. + dial. : Roger Vailland + R. Clément"		Henri Decae	Claude Bolling	
Félins (Les)		CLÉMENT René	NB	1964 / F	 / C.I.P.R.A. (Jacques Bar)	dr.	Alain Delon, Carl Studer, André Oumansky, Douking, Arthur Howard, George Gaynes, Berett Arcaya, Marc Mazza, Jacques Bézard, Jean-Pierre Honoré, Négro, Georges Gaynes, Berrett, Arcaya, 	Jane Fonda, Lola Albright, Sorell Booke, Annette Poivre,	TB. Exc.	R. Clément + Pascal Jardin + Charles Williams	"rom. ""Joy house"" (""Vive la mariée"") de Day Keene"	Henri Decae	Lalo Schiffrin	
Paris brûle-t-il?		CLÉMENT René	NB	1966 / F	2 / Transcontinental - Marianne Prod. (Paul Graetz)	gu.	Jean-Paul Belmondo, Charles Boyer, Jean-Pierre Cassel, George Chakiris, Bruno Creme, Alain Delon, Claude Dauphin, Kirk Douglas, Pierre Dux, Glenn Ford, Gert Froebe, Félix Marten, Yves Montand, Anthony Perkins, Michel Piccoli, Sacha Pitoeff, Wolfgang Preiss, Hannes Messenmer, Harry Meyen, Albert Rémy, Claude Rich, Robert Stack, Jean-Louis Trintignant, Pierre Vaneck, Orson Welles, Goerges Gérêt, Daniel Gélin, Skip Ward, Michel Etcheverry, Billy Frick, Félix Marten, Christian Rode, Jean Valmont, Paul Crauchet, Bernard Fresson, Roger Lumont, Pierre Mirat, Georges Staquet, 	Leslie Caron, Simone Signoret, Marie Versini, 	BonB.	Gore Vidal + Francis Coppola	livre de Larry Collins + Dominique Lapierre	Marcel Grignon	Maurice Jarre	
Passager de la pluie (Le)		CLÉMENT René	Coul.	1969 / F - I	 / Grennwich Films Prod.-Meduza Distribuzione	dr.	Charles Bronson, Gabriele Tinti, Jean Gaven, Marcel Pérès, Marc Mazza, Jean Piat, Steve Eckardt, Jean-Daniel Ehrmann, Yves Massard, Pierre Collet, Yvan Chiffre, Michel Dacquin, 	Marlène Jobert, Jill Ireland, Annie Cordy, Corinne Marchand, Marika Green, Ellen Bahl, 	B.	"Sébatien JaprisotAdapt. + dial. : Lorenzo Ventavoli"		Andreas Winding	Françis Lai	
Course du lièvre à travers les champs (La)		CLÉMENT René	Coul.	1972 / F - USA	 / Greenwich Film - Medusa (Serge Silberman)	pol.	Jean-Louis Trintignant, Robert Ryan, Aldo Ray, Jean Gaven, André Lawrence, Don Arrès, Louis Aubert, Jean Coutu, Jean-Marie Lermieux, Michel Maillot, 	Lea Massari, Tisa Farrow, Nadine Nabokov, Ellen Bahl, Béatrice Belthoise, Emmanuelle Béart, 	BonB.	Sébastien Japrisot	"rom. ""Black friday"" de David Goodis"	Edmond Richard	Francis Lai	
Custer's Last Stand	Vengeurs de Buffalo Bill (Les)	CLIFTON Elmer	NB / 86mn ou 328mn en 15 épisodes	1936 / USA	 / Weiss Prod. (Louis Weiss)	western	Rex Lease, William Farnum, Jack Mulhall, George Chesebro, Frank McGlynn Jr., Josef Swickard, Chief Thundercloud, Reed Howes, Bobbie Nelson, Robert Walker, Allen Greer, High Eagle, Howling Wolf, Chief John Big Tree, Iron Eyes Cody, Chief Thunderbird, William Desmond	Lona Andre, Ruth Mix, Nancy Caswell, Dorothy Gulliver, Helen Gibson, 	"Bon. La version de 86mn est semble-t-il un remontage à la serpe des 15 épisodes. Difficile de juger du scenario, mais les personnages sont assez bien tenues ; les séquences d’action, par contre, sont faibles. Même sur 86mn, le tout est bien trop long et vide, et on a du mal à atteindre le “Last stand” du titre, qui n’est d’ailleurs pas une merveille !"	George Arthur Durlam + Eddy Granemann + William Lively		Bert Longenecker	Lee Zahler	
California frontier		CLIFTON Elmer	NB / 54mn	1938 / USA	 / COL / Coronet (Monroe Shaff)	western	Buck Jones, Milburn Stone, Jose Perez, Stanley Blystone, Carlos Villarios, Paul Ellis, Ernie Adams, Forrest Taylor, Billy Bletcher, Glenn Strange, 	Carmen Bailey, Soledad Jimenez, 	Bon-. Une histoire ridiculement vieillotte et ridiculement mélodramatique, située dans la Californie mexicaine. Jones est ridicule (lui aussi !), le scenario niais, les personnages inexistants, la réalisation pitoyable. Le ridicule tue donc !	Monroe Shaff + Arthut Hoerl		Edward Linden	Screen Music, inc.	
Old Chisholm Trail (The)		CLIFTON Elmer	NB / 61mn	1942 / USA	 / U (Oliver Drake)	western	 Johnny Mack Brown, Tex Ritter, Fuzzy Knight, Earle Hodgins, Roy Barcroft, Edmund Cobb, Budd Buster, Johnny Bond, Roy Butler, Scotty Harrel, Scoop Martin, Frosty Royce, George Sherwood, Michael Vallon, Jimmy Wakely Trio, 	Jennifer Holt, Mady Correll, 	BonBon+. Le film débute par quelques très jolies chansons de type yoodle ou country, par Jimmy Wakely puis Tex Ritter, puis s’enfonce assez vite dans l’ornière de la série B avec les comiques habituels, ici assez mal servis par le scenario... Les histoires de ranch et de recherche d’eau sont très schématiques, malgré la présence d’une jolie propriétaire terrienne aux intentions accaparatrices et meurtrières ! Les bagarres sont fort animées alors que les “shoot-out” sont presque ridicules ! Dommage.	Elmer Clifton	hist. de Harry L. Fraser 	William A. Sickner 		
Marked for murder		CLIFTON Elmer	NB / 58mn	1945 / USA	2 / Alexander Stern Prod.	western	Tex Ritter (Tex Haines), Dave O'Brien (Texas Ranger Dave Wyatt), Guy Wilkerson (Texas Ranger Panhandle Perkins), Ed Cassidy (Dick Vernon), Henry Hall (Sheriff Jim Whitlock), Charles King (henchman Pete Magoo), Jack Ingram (Sam Taylor, saloon owner), Bob Kortman (henchman), Jimmy Aubrey (bartender), Roy Bucko (cattleman), Frank Ellis (Jed Moore), Jack Evans (Jack, sheepman), Art Felix (Randy Smith), Herman Hack (sheepman), Chick Hannan (cattleman), Jack Hendricks (Nord Collins), Kermit Maynard (henchman), George Sowards (cowhand), Wally West (henchman), Wen Wright (Bill Ganer), The Milo Twins (musicians), 	Marilyn McConnell (Ruth Lane), 	Bon-. Ritter n'a pas grand attrait comme cow-boy de serial (mais il peut être un fin chanteur), et le scenario n'a rien à offrir, d'autant qu'on ne comprend à peu près rien aux diverses cavalcades. Quelques drôleries avec Wilkerson font passer le temps, les Milo Twins (Edward and Edwin Miolen) ont le sens de l’harmonie, mais c'est encore totalement insuffisant.	Elmer Clifton		Edward A. Kull		
Million dollars legs	Folies olympiques	CLINE Edward F.	NB	1932 / USA	 / PAR	com.	W. C. Field, Jack Oakie, Andy Clyde, Ben Turpin, Hugh Herbert, Billy Gilbert, George Barbier,	Lyda Roberti, Susan Fleming	TB.	Harry Myers + Nick Barrows + Joseph L. Mankiewicz		Arthur Todd		
Cowboy millionaire (The)		CLINE Edward F.	NB / 65mn	1935 / USA	 / Atherton Prod. (Sol Lesser)	com., western	George O'Brien (Bob Walker), Edgar Kennedy (Willy Persimmon Bates), Stephen Chase (Hadley Thornton), Daniel Jarrett (Edward Doyle), Lloyd Ingraham (Ben Barclay), Dean Benton (desk clerk), Thomas A. Curran (Mr. Nolan, hotel manager)	Evalyn Bostock (Pamela Barclay), Maude Allen (Maude Allen), 	Bon+. Une comédie sentimentale qui ne fait qu’effleurer le western : le héros joue un cowboy de parade qui accueille les riches clients d’un hôtel. Les décors sont là, quelques situations comiques modestes viennent en complément, mais tout est prévisible et l’histoire se conclut étonnamment à Londres, ce qui n’ajoute rien aux maigres qualités du film. Seul intérêt de tout cela : la décontraction souriante et puissante d’O’Brien, qui n’est pas ici utilisé comme il lui convient. 	George Waggner + Dan Jarrett	hist. de Dan Jarrett	"Frank B. Good
Mont. : Donn Hayes"	Abe Mayer	
When a Man's a Man		CLINE Edward F.	NB / 68mn	1935 / USA	 / Sol Lesser Prod. (Sol Lesser + John Zanft)	com., western	George O'Brien (Larry Knight), Paul Kelly (Phil Acton, foreman of the Cross Triangle Ranch), Harry Woods (Nick Gambert), Jimmy Butler (newspaper boy Jimmy), Richard Carlyle (Dean Baldwin, owner of the Cross Triangle), Clarence Wilson (Garvey, Gambert's lawyer), Edgar Norton (servant Gibbs), Stanley Blystone (mover), Dick Botiller (Al), Charles Brinley (barfly), Ralph Bucko (barfly), Roy Bucko (barfly), Ken Cooper (cowhand Curly), Lester Dorr (train passenger), Frank Ellis (Gambert henchman), Dick Hunter (barfly Luke), Sid Jordan (cowboy sitting on fence), Tracy Layne (cowhand Slim), Jack Montgomery (barfly), Arthur Thalasso (bartender), Slim Whitaker (rodeo official)	Dorothy Wilson (Kitty Baldwin), Rose Plumer (Nina, housekeeper), 	Bon. Un “tenderfoot” descend du train pour regarder un rodeo et le laisse partir par erreur... il se trouve coincé au Far-West. O’Brien a au moins fait trois film sur ce genre de postulat, mais le meilleur reste indubitablement “Hollywood Cowboy” (Ewing Scott, 1937), par la drôlerie de son histoire, des variations, et la décontraction du héros. Il n’y a à peu près rien à se mettre sous la dent ici, malheureusement, et O’Brien s’emploie à peine !	Frank Mitchell Dazey + Agnes Christine Johnston	rom. de Harold Bell Wright	"Frank B. Good
"	stock : Abe Mayer	
Dude ranger (The)		CLINE Edward F.	NB / 65mn	1939 / USA	2 / Atherton Prod. (Sol Lesser + John Zanft)	western	George O'Brien (Ernest 'Dude' Selby), LeRoy Mason (Dale Hyslip), Syd Saylor ('Nebraska' Kemp), Henry Hall (Sam Hepburn), Jim Mason ('Hawk' Stevens), Sid Jordan (henchman Dunn), Lloyd Ingraham (lawyer John Beckett), Silver Tip Baker (townsman), Hank Bell (party guest), Charles Brinley (bank customer), Earl Dwire (train passenger), John Ince (banker), Si Jenks (drunk), Jack Kirk (bank customer), Murdock MacQuarrie (doctor), Merrill McCormick (bank customer), Lafe McKee (Al, bank customer), Jack Montgomery (cowhand), Vester Pegg (cowhand), Dick Rush (Crane, cattle buyer).	Irene Hervey (Ann Hepburn), Alma Chester (Martha, housekeeper), 	Bon+. Une petite série B classique, assez décontractée, sur un scenario typique du serial, qui allie habilement mouvement, mystère et humour. O'Brien joue avec légèreté et décontraction, dans les décors splendides de Zion et de Johnson Canyon, dans l'Utah, trop peu utilisés dans le western. I. Hervey est charmante, et on remarque encore une fois (comme dans “Three on the trail” d’Howard Bretherton, 1940) l'utilisation d'un air de Glück (”la danse des Furies”) pour la poursuite.	Barry Barringer	rom. de Zane Grey	"Frank B. Good
Mont. : Donn Hayes"		
My little chickadee	Mon petite poussin chéri	CLINE Edward F.	NB	1939 / USA	2 / U (Lester Cowan)	com.	W. C. Fields, Joseph Calleia, Dick Foran, Donald Meek, George Moran, Si Jenks, James Conlin, Gene Austin, Russell Hall, Otto Heimel, Eddie Butler, Bing Conley, Fuzzy Knight, Willard Robertson, Donald Meek, William B. Davidson, Addison Richards, Jackie Searle, Morgan Wallace, Wade Boteler, Harlan Briggs, Jeff Conlon, John Kelly, 	Mae West, Margaret Hamilton, Anne Nagel, Ruth Donnelly, Fay Adler, Jan Duggan, 	TB. Exc. puis B.	Mae West + W. C. Fields		Joseph Valentine	Frank Skinner	
Bank dick (The)	Mines de rien	CLINE Edward F.	NB	1940 / USA	3 / U	com.	W. C. Fields, Franklin Pangborn, Shemp Howard, Richard Purcell, Grady Sutton, Russell Hicks, Pierre Watkin, Al Hill, George Moran, Bill Wolfe, Jack Norton, Pat West, Reed Hadley, Harlan Briggs, Bill Alston, 	Una Merkel, Jessie Ralph, Cora Whitherspoon, Evelyn Del Rio, Heather Wilde, 	B. Toujours hors de tout qualificatif, mais étrangement drôle et fascinant. La poursuite finale, digne héritière du muet, est une sorte de perle, mais l'absurde lent de Fields laisse interrogatif et pantois. 	Mahatma Kane Jeeves (= W. C. Fields)		Milton Krasner	Charles Previn	
Never give a sucker an even break	Passez muscade	CLINE Edward F.	NB	1941 / USA	2 / U	com.	W. C. Fields, Franklin Pangborn, Leon Errol, Billy Lenhardt, Kenneth Browne, Leon Errol, Charles Lang, Irving Bacon, 	Gloria Jean, Margaret Dumont, Susan Miller, Mona Barrie, Anne Nagel, 	TB. puis Bon+.	John T. Neville + Presott Chaplin	hist. de Otis Criblecoblis (= W. C. Fields)	Charles Van Enger	Frank Skinner	
Crazy house		CLINE Edward F.	NB / 80mn	1941 / USA	 / U 	com.	Ole Olsen, Chic Johnson, Patric Knowles, Leighton Noble, Thomas Gomez, Percy Kilbride, Hans Conreid, Richard Lane, Andrew Tombes, Billy Gilbert, Chester Clute, Edgar Kennedy, Franklin Pangborn, Basil Rathbone, Nigel Bruce, Johnny Mack Brown, Andy devine, Leo Carrillo, Alan Curtis, 	Cass Daley, Martha O'Driscoll, 	"Bon. Une splastick comedy qui marche sur les brisées du ""Hellzapoppin"" (1941), mais avec moins de rythme, d'invention et de surréalisme. Les numéros musicaux sont faibles (sauf un) et on n'arrive pas à s'intéresser au film, dès son démarrage ; la suite est un peu plus endiablée et plaisante, dans le mode très mineur."	Robert Lees + Frederic I. Rinaldo		Charles Van Enger		
Behind the eight ball		CLINE Edward F.	NB / 60mn	1942 / USA	 / U (Howard Benedict)	com., com. mus., pol.	The Ritz Brothers (Al + Jimmy + Harry Ritz), Dick Foran, Johnny Downs, William Demarest, Richard Davies, Russell Hicks, Jack Arnold, Sonny Durham and His Orchestra, Robert Barron, Harold Belfer, John Berkes, William Cabanne, Eddie Coke, Kernan Cripps, Roland Dupree Henry Hall, Ray Kellogg, Lew Kelly, Ethan Laidlaw, Emmett Lynn, Forbes Murray, William Ruhl, Mickey Simpson	Carol Bruce, Grace McDonald, Eleanor Counts, Jane Cowan, Ruth Lee, 	"Bon+. Une comédie policière et musicale qui vire au splastick quand le trio des frères Ritz est en scène, moments qui sont de loin les meilleurs du films ! Pour le reste, même si la réalisation a du rythme, rien à sortir du scenario et des autres comédiens, d’autant que le Dick Foran est aussi mou que de la guimauve ; heureusement, il ne chante pas ! Un des meilleurs opus des Ritz Brothers."	Stanley Roberts + Mel Ronson	hist. de Stanley Roberts	George Robinson	"Don Raye + Gene DePaul
Chor. : Eddie Prinz"	
See My Lawyer	Voyez mon avocat	CLINE Edward F.	NB / 67mn	1942 / USA	 / U (Edmund L. Hartmann)	com., com. mus.	Ole Olsen, Chic Johnson, Alan Curtis, Noah Beery Jr., Franklin Pangborn, Edward Brophy, Richard Benedict, Clements, Ralph Peters, King Cole Trio, The Hudson Wonders, The Rogers Adagio Trio, Four Teens, The Cristianos Troupe, The Six Willys, Bobby Barber, Leon Belasco, Brooks Benedict, James Carlisle, George Chandler, Tom Dugan, Edward Gargan	Grace McDonald, Mary Gordon, Carmen Amaya, Ruth Roman	Bon+. Une comédie délirante à la mode Olsen & Johnson, qui étoffe ses faiblesses grâce à quelques numéros de music-hall excellents et un morceau du trio de Nat King Cole (pianiste à l’époque, pas encore crooner) et d’une excellente danseuse de flamenco. La scène finale du tribunal est modérément amusante, mais sort de l’ordinaire... Ce fut le dernier film du duo infernal.	Edmund L. Hartmann + Stanley Davis	pièce de Richard Maibaum + Harry Clork	Paul Ivano	"Lloyd Akridge
Chor. : George Dobbs"	
Private Buckaroo		CLINE Edward F.	NB / 68mn	1942 / USA	 / U	com., com. mus.	Harry James (himself, big band leader), Dick Foran (Lon Prentice), Joe E. Lewis (Lancelot Pringle McBiff), Ernest Truex (Colonel Elias Weatherford), Shemp Howard (Sergeant Muggsy Snavel), Richard Davies (Lieutenant Howard Mason), Donald O'Conner (Donny), Huntz Hall (Corporal Anemic), The Jivin' Jacks and Jills (teenage dancing group), Eddie Acuff (waiter captain), Wade Boteler (recruiting Sergeant), Eddie Bruce (jeep driver), George Chandler (enlistment Sergeant), Jimmy Conlin (uncle), Pat Flaherty (drill Sergeant), Harold Miller (nightclub patron waiting for a table), Edmund Glover (private), Robert Emmett Keane (nightclub owner), Sidney Miller (jeep driver), Edmund Mortimer (nightclub patron), William H. O'Brien (Joseph), Gene O'Donnell (McAllister), Eddie Parker (Atkins), Tom Quinn (nightclub patron), Joey Ray (waiter), Addison Richards (Army Captain), Ronald R. Rondell (nightclub patron), Jeffrey Sayre (tough waiter), Edwin Stanley (Major Evans), Billy Wayne (Sergeant)	 The Andrews Sisters (themselves, singers), Jennifer Holt (Joyce Mason), Mary Wickes (Bonnie-Belle Schlopkiss), Peggy Ryan (Peggy), Susan Levine (Tagalong, Peggy's little sister), Helen Forrest (herself, singer for Harry James and His Music Makers), Bess Flowers (nightclub patron waiting for a table), Grace Hayle (dowager), 	Bon-. Un film de propagande de guerre sans aucun intérêt, au scenario prétexte pitoyable. La présence de Dick Foran empire les choses, et les numéros (qui occupent la majorité du film) sont dans l’ensemble faibles et creux, sauf celui des “Jivin' Jacks and Jills”, de H. James et des Sisters...	Edmund Kelso + Edward James	"hist. de Paul Gerard Smith	"	 Woody Bredell		
Scarecrow (The)		CLINE Edward F. + KEATON Buster	NB / muet	1920 / USA		com. 	Buster Keaton, Al St-John, Joe Roberts, 	Sybil Sealey, 	Exc.	B. Keaton + E. Cline		Elgin Lessley		
Neighbors	Voisins (Les)	CLINE Edward F. + KEATON Buster	NB / muet	1920 / USA		com.	Buster Keaton, Joe Keaton, Joe Roberts, 	Virginia Fox, 	Exc.	B. Keaton + Eddie Cline		Elgin Lessley		
Paleface (The)	Malec chez les sioux	CLINE Edward F. + KEATON Buster	NB / muet	1921 / USA	3	com.	Buster Keaton, 	Virginia Fox, 	TB.	B. Keaton + E. Cline		Elgin Lessley		
Haunted house (The)	Maison fantôme (La)	CLINE Edward F. + KEATON Buster	NB / muet	1921 / USA	3	com.	Buster Keaton, Joe Roberts, Eddie Cline,	Virginia Fox,	Exc. puis B. Les idées sont mal structurées (on passe de la banque à la maison hantée, et l'inverse, de manière arbitraire), les gags sont assez mécaniques et n'ont pas la grandeur de ceux des autres oeuvres de Keaton. La mise en scène elle aussi est trop mécanique.	B. Keaton + E. Cline				
Cops	Flics (Les)	CLINE Edward F. + KEATON Buster	NB / muet	1922 / USA	 / Associated First National	com.	Buster Keaton, Joe Roberts, 	Virginia Fox, 	TB	B. Keaton + E. Cline		Elgin Lessley		
My wife's relations	Parents de ma femme (Les)	CLINE Edward F. + KEATON Buster	NB / muet	1922 / USA		com.	Buster Keaton, Monty Collins, 	Kate Price,	B.	B. Keaton + E. Cline		Elgin Lessley		
Frozen North (The)		CLINE Edward F. + KEATON Buster	NB / muet	1922 / USA	 / B. Keaton Prod. (Joseph M. Schenck)	com.	Buster Keaton, Freeman Wood, Joe Roberts, Freeman Wood, Edward F. Cline, 	Sybil Seely, Bonnie Hill, 	B-. Une comédie encore mineure, où Keaton quitte sa morale élevée pour, le temps d'un rêve dans une salle de cinéma, jouer au bandit et au suborneur de femme mariée en pleine neige. Quelques clins d'oeil au personnage de Stroheim, mais peu d'idées et d'humour.	Buster Keaton + Edward F. Cline		Elgin Lessley		
Three ages (The)	Trois âges (Les)	CLINE Edward F. + KEATON Buster	NB / muet	1923 / USA	 / B. Keaton	com.	Buster Keeton, Wallace Beery, Joe Roberts, Horace Morgan, Oliver Hardy, 	Margaret Leahy, Lilian Lawrence, 	B.	Clyde Bruckman + Jean Havez + Joseph Mitchell		William McGann + Elgin Lessley		
Balloonatic (The)	Malec aéronaute	CLINE Edward F. + KEATON Buster	NB / muet	1923 / USA		com.	Buster Keaton, 	Phyllis Haver	TB.	B. Keaton + E. Cline		Elgin Lessley		
Docteur Laennec		CLOCHE Maurice	NB	1948 / F	 / Films Maurice Cloche	com. dr.	Pierre Blanchar, Saturnin Fabre, Pierre Dux, Christian Duvaleix, Geymond Vital, Jean Toulout, Jacques Dynam, Jean Lanier, Charles Bouillaud, Guy Favières, Lucien d'Anthony, Georges Paulais, Charles Vissières, Paul Demange, Nicolas Amato, Raphaël Patorni, Léon Larive, Max Rogerys, Henri Maïk, André Dumas, Georges Galley, 	Jany Holt, Mireille Perrey, Janine Viénot, Francette Vernillat, Marcelle Praince, Nicole Riche, Palmyre Levasseur, Lina Roxa, FranceDescaut, Eliane Salmon, Evelyne Salmon, 	Bon.	Jean Bernard-Luc	idée de M. Cloche	Claude Renoir	Jean-Jacques Grünewald	
